因子名称,因子描述,因子类型,序号,数据依赖,来源,经济直觉
alpha101_013,"原式: -1*rank(covariance(rank(close), rank(volume), 5))",函数因子(多日panel),11,highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_rank|ts_corr|ts_cov|rank,register_factor/_alpha101_013,刻画价量联合波动方向与强度（协方差类）
alpha101_015,"原式: -1*sum(rank(correlation(rank(high), rank(volume), 3)), 3)",函数因子(多日panel),12,openPrice|highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_rank|ts_corr|ts_cov|rank,register_factor/_alpha101_015,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_016,"原式: -1*rank(covariance(rank(high), rank(volume), 5))",函数因子(多日panel),13,openPrice|highestPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_std|ts_rank|ts_corr|ts_cov|rank|sign,register_factor/_alpha101_016,刻画价量联合波动方向与强度（协方差类）
alpha101_017,"原式: ((-1*rank(ts_rank(close,10)))*rank(delta(delta(close,1),1))*rank(ts_rank((volume/adv20), 5)))",函数因子(多日panel),14,openPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_rank|ts_corr|ts_min|rank|sign,register_factor/_alpha101_017,通过截面或时序排序衡量相对强弱（排序类）
alpha101_018,"原式: -1*rank(stddev(abs(close-open),5)+(close-open)+correlation(close,open,10))",函数因子(多日panel),15,openPrice|highestPrice|closePrice|turnoverVol|turnoverValue|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|ts_min|rank|np.where|sign,register_factor/_alpha101_018,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_019,"原式: ((-1*sign((close-delay(close,7))+delta(close,7)))*(1+rank(1+sum(returns,250))))",函数因子(多日panel),16,highestPrice|closePrice|turnoverVol|turnoverValue|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_rank|ts_min|rank|np.where|sign|log,register_factor/_alpha101_019,通过截面或时序排序衡量相对强弱（排序类）
alpha101_024,"原式: condition on delta(mean(close,100),100)/delay(close,100); then -1*(close-ts_min(close,100)) or -1*delta(close,3)",函数因子(多日panel),17,highestPrice|closePrice|turnoverVol|turnoverValue|chgPct|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|ts_min|rank|np.where|log,register_factor/_alpha101_024,比较当前与历史值，刻画动量/反转（差分时序类）
alpha101_025,原式: rank(((-1*returns)*adv20*vwap*(high-close))),函数因子(多日panel),18,openPrice|highestPrice|closePrice|turnoverVol|turnoverValue|chgPct|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|rank|log,register_factor/_alpha101_025,通过截面或时序排序衡量相对强弱（排序类）
alpha101_029,"原式: min(product(rank(scale(log(...))), 1), 5) + ts_rank(delay(-1*returns, 6), 5)。简化: ts_rank(delay(-return,6), 5) + rank(-delta(close,5))",函数因子(多日panel),19,openPrice|closePrice|chgPct|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|rank|log,register_factor/_alpha101_029,通过截面或时序排序衡量相对强弱（排序类）
alpha101_032,"原式: scale(mean(close,7)-close) + 20*scale(correlation(vwap, delay(close,5), 230))",函数因子(多日panel),20,openPrice|highestPrice|closePrice|turnoverVol|vwap|delay|ts_mean|ts_std|ts_rank|ts_corr|rank,register_factor/_alpha101_032,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_037,"原式: rank(corr(delay(open-close,1), close, 200)) + rank(open-close)",函数因子(多日panel),21,openPrice|highestPrice|closePrice|turnoverVol|delay|ts_std|ts_rank|ts_corr|rank,register_factor/_alpha101_037,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_038,"原式: -1*rank(Ts_Rank(close,10))*rank(close/open)",函数因子(多日panel),22,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_std|ts_rank|ts_corr|ts_max|ts_min|rank,register_factor/_alpha101_038,通过截面或时序排序衡量相对强弱（排序类）
alpha101_040,"原式: -1*rank(stddev(high,10))*correlation(high, volume, 10)",函数因子(多日panel),23,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_std|ts_corr|ts_max|ts_min|ts_argmax|rank,register_factor/_alpha101_040,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_050,"原式: -1*ts_max(rank(correlation(rank(volume), rank(vwap), 5)), 5)",函数因子(多日panel),25,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_corr|ts_max|ts_min|ts_argmax|wma|rank,register_factor/_alpha101_050,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_044,"原式: -1*correlation(high, rank(volume), 5)。先按日 rank(volume)，再 per-ticker ts_corr(high, rank_vol, 5)",函数因子(多日panel),24,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_corr|ts_max|ts_min|ts_argmax|wma|rank,register_factor/_alpha101_044,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_055,"原式: -1*correlation(rank(stoch), rank(volume), 6), stoch=(close-ts_min(low,12))/(ts_max(high,12)-ts_min(low,12))",函数因子(多日panel),26,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_rank|ts_corr|ts_max|ts_min|ts_argmax|wma|rank,register_factor/_alpha101_055,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_057,"原式: -(close-vwap)/decay_linear(rank(ts_argmax(close,30)), 2)",函数因子(多日panel),27,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_rank|ts_argmax|wma|rank,register_factor/_alpha101_057,通过截面或时序排序衡量相对强弱（排序类）
alpha101_066,"原式: (rank(wma(delta(vwap,3), 7)) + Ts_Rank(wma((low-vwap)/(open-(high+low)/2), 11), 6)) * -1",函数因子(多日panel),28,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_rank|wma|rank,register_factor/_alpha101_066,通过截面或时序排序衡量相对强弱（排序类）
alpha101_083,"原式: rank(delay((high-low)/mean(close,5),2))*rank(rank(volume)) / (((high-low)/mean(close,5))/(vwap-close))",函数因子(多日panel),29,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|preClosePrice|vwap|delay|ts_mean|ts_sum|wma|rolling|rank|np.where,register_factor/_alpha101_083,通过截面或时序排序衡量相对强弱（排序类）
alpha191_003,原式: 条件 term 与 rolling(6).sum(),函数因子(多日panel),31,openPrice|highestPrice|lowestPrice|closePrice|preClosePrice|vwap|delay|ts_delta|ts_mean|ts_sum|rolling|rank|np.where,register_factor/_alpha191_003,按原式组合价量时序与截面信息，刻画收益预期差异
alpha101_088,"原式: min(rank(wma((rank(open)+rank(low))-(rank(high)+rank(close)), 8)), Ts_Rank(...))",函数因子(多日panel),30,openPrice|highestPrice|lowestPrice|closePrice|preClosePrice|vwap|ts_delta|ts_mean|ts_sum|wma|rolling|rank|np.where,register_factor/_alpha101_088,通过截面或时序排序衡量相对强弱（排序类）
alpha191_008,"原式: rank(-1*delta(weighted_price, 4)), weighted_price=((high+low)/2)*0.2+vwap*0.8",函数因子(多日panel),32,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_corr|ts_max|rank,register_factor/_alpha191_008,通过截面或时序排序衡量相对强弱（排序类）
alpha191_012,原式: rank(open - vwap_sma10) * (-1*rank(abs(close-vwap))),函数因子(多日panel),33,openPrice|closePrice|turnoverVol|vwap|delay|ts_mean|ts_corr|ts_max|rank,register_factor/_alpha191_012,通过截面或时序排序衡量相对强弱（排序类）
alpha191_014,"原式: close - delay(close, 5)，多日实现",函数因子(多日panel),34,closePrice|turnoverVol|vwap|delay|ts_corr|ts_max|rank|np.where,register_factor/_alpha191_014,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_016,"原式: -1*ts_max(rank(corr(rank(volume), rank(vwap), 5)), 5)",函数因子(多日panel),35,closePrice|turnoverVol|vwap|delay|ts_mean|ts_corr|ts_max|rolling|rank|np.where,register_factor/_alpha191_016,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_018,"原式: close / delay(close, 5)",函数因子(多日panel),36,closePrice|turnoverVol|chgPct|delay|ts_delta|ts_mean|ts_sum|wma|rolling|rank|np.where,register_factor/_alpha191_018,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_019,"原式: 分段 (close<prev5, close==prev5, else)",函数因子(多日panel),37,closePrice|turnoverVol|chgPct|delay|ts_delta|ts_mean|ts_sum|wma|rolling|rank|np.where,register_factor/_alpha191_019,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_020,"原式: (close - delay(close,6))/delay(close,6)*100",函数因子(多日panel),38,closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|wma|rolling|rank,register_factor/_alpha191_020,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_022,"原式: (close-mean(close,6))/mean(close,6) - delay(...) 再 mean(y,12)",函数因子(多日panel),39,closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_corr|wma|rolling|rank,register_factor/_alpha191_022,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_024,原式: (close-shift(5)).rolling(5).apply((x[-1]+mean(x[:-1])*4)/5),函数因子(多日panel),40,highestPrice|lowestPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_corr|ts_max|ts_min|wma|rolling|rank,register_factor/_alpha191_024,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_025,"原式: -1*rank(ts_delta(close,7)*(1-rank(wma(vol/mean(vol,20), 9)))) * (1+rank(ts_sum(returns,250)))",函数因子(多日panel),41,highestPrice|lowestPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_corr|ts_max|ts_min|wma|rank,register_factor/_alpha191_025,通过截面或时序排序衡量相对强弱（排序类）
alpha191_026,"原式: ts_mean(close,7)-close + corr(vwap, delay(close,5), 230)",函数因子(多日panel),42,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_mean|ts_sum|ts_corr|ts_max|ts_min|rank,register_factor/_alpha191_026,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_028,"原式: 9日 Stoch K/D 组合 3*stoch_d - 2*mean(stoch_d,3)",函数因子(多日panel),43,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_mean|ts_sum|ts_corr|ts_max|ts_min|rank,register_factor/_alpha191_028,技术指标信号，反映超买超卖与动量状态
alpha191_029,"原式: (close - delay(close,6))/delay(close,6) * volume",函数因子(多日panel),44,openPrice|highestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_corr|wma|rank,register_factor/_alpha191_029,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_032,"原式: -1*ts_sum(cs_rank(ts_corr(rank(high), rank(volume), 3)), 3)",函数因子(多日panel),45,openPrice|highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_corr|ts_max|wma|rank,register_factor/_alpha191_032,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_034,"原式: ts_mean(close,12)/close",函数因子(多日panel),46,openPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_corr|ts_max|wma|rank,register_factor/_alpha191_034,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_036,"原式: cs_rank(ts_sum(ts_corr(rank(vol), rank(vwap), 6), 2))",函数因子(多日panel),47,openPrice|highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|ts_max|wma|rank,register_factor/_alpha191_036,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_041,"原式: -1*rank(ts_max(delta(vwap,3), 5))",函数因子(多日panel),49,openPrice|highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_std|ts_corr|ts_max|rank,register_factor/_alpha191_041,通过截面或时序排序衡量相对强弱（排序类）
alpha191_039,"原式: rank(wma(delta(close,2), 8)) - rank(corr(0.3*vwap+0.7*open, ts_sum(ts_mean(vol,180), 37), 14))",函数因子(多日panel),48,openPrice|highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|ts_max|wma|rank,register_factor/_alpha191_039,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_042,"原式: -1*rank(stddev(high,10))*corr(high, volume, 10)",函数因子(多日panel),50,openPrice|highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_std|ts_corr|rank,register_factor/_alpha191_042,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_045,"原式: rank(delta(0.6*close+0.4*open, 1)) * rank(corr(vwap, ts_mean(vol,150), 15))",函数因子(多日panel),51,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|rank|np.where,register_factor/_alpha191_045,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_046,原式: (mean3+mean6+mean12+mean24)/(4*close),函数因子(多日panel),52,openPrice|highestPrice|lowestPrice|closePrice|delay|ts_mean|ts_sum|ts_std|ts_corr|ts_max|ts_min|rank|np.where,register_factor/_alpha191_046,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_054,"原式: -1*rank(stddev(abs(close-open),10)+(close-open)+corr(close, open, 10))",函数因子(多日panel),53,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|ts_max|ts_min|wma|rank|np.where,register_factor/_alpha191_054,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_055,"原式: 复杂 TR 与 sum(i*term_max, 20)，True Range 风格",函数因子(多日panel),54,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_corr|ts_max|ts_min|wma|rank|np.where,register_factor/_alpha191_055,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_057,"原式: ts_mean(Stoch_K, 3)，9日 Stoch",函数因子(多日panel),55,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_corr|ts_max|ts_min|wma|rank,register_factor/_alpha191_057,技术指标信号，反映超买超卖与动量状态
alpha191_061,"原式: -1*max(rank(wma(delta(vwap,1),12)), rank(wma(rank(corr(low, ts_mean(vol,80), 8)), 17)))",函数因子(多日panel),56,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_corr|ts_max|wma|rank,register_factor/_alpha191_061,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_062,"原式: -1*ts_corr(high, cs_rank(volume), 5)",函数因子(多日panel),57,highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_corr|ts_max|wma|rank,register_factor/_alpha191_062,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_063,原式: RSI 6日 up_move/down_move*100,函数因子(多日panel),58,closePrice|turnoverVol|turnoverValue|vwap|ts_delta|ts_mean|ts_std|ts_corr|ts_max|wma|rank,register_factor/_alpha191_063,技术指标信号，反映超买超卖与动量状态
alpha191_064,"原式: -1*max(rank(wma(corr(rank(vwap), rank(vol), 4), 4)), rank(wma(ts_max(corr(rank(close), rank(ts_mean(vol,60)), 4), 4), 13)))",函数因子(多日panel),59,closePrice|turnoverVol|turnoverValue|vwap|ts_mean|ts_std|ts_corr|ts_max|wma|rank,register_factor/_alpha191_064,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_065,"原式: ts_mean(close,6)/close",函数因子(多日panel),60,lowestPrice|closePrice|turnoverVol|turnoverValue|vwap|ts_mean|ts_sum|ts_std|ts_corr|rank,register_factor/_alpha191_065,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_066,"原式: (close - mean(close,6))/mean(close,6)*100",函数因子(多日panel),61,lowestPrice|closePrice|turnoverVol|turnoverValue|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|rank,register_factor/_alpha191_066,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_070,"原式: ts_std(amount, 6)",函数因子(多日panel),62,lowestPrice|closePrice|turnoverVol|turnoverValue|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|rank,register_factor/_alpha191_070,刻画波动率/不确定性水平（波动类）
alpha191_071,"原式: (close - mean(close,24))/mean(close,24)*100",函数因子(多日panel),63,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_corr|rank,register_factor/_alpha191_071,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_074,"原式: rank(corr(ts_sum(0.35*low+0.65*vwap, 20), ts_sum(ts_mean(vol,40), 20), 7)) + rank(corr(rank(vwap), rank(vol), 6))",函数因子(多日panel),64,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_sum|ts_corr|ts_cov|wma|rank,register_factor/_alpha191_074,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_079,原式: RSI 12日,函数因子(多日panel),65,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_rank|ts_cov|wma|rank,register_factor/_alpha191_079,技术指标信号，反映超买超卖与动量状态
alpha191_081,"原式: ts_mean(volume, 21)",函数因子(多日panel),66,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|ts_cov|wma|rank,register_factor/_alpha191_081,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_083,"原式: -1*rank(covariance(rank(high), rank(volume), 5))",函数因子(多日panel),67,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|ts_cov|wma|rank,register_factor/_alpha191_083,刻画价量联合波动方向与强度（协方差类）
alpha191_087,"原式: -1*(rank(wma(delta(vwap,4), 7)) + Ts_Rank(wma((low-vwap)/(open-(high+low)/2), 11), 7))",函数因子(多日panel),68,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|wma|rank,register_factor/_alpha191_087,通过截面或时序排序衡量相对强弱（排序类）
alpha191_088,"原式: (close - delay(close,20))/delay(close,20)*100",函数因子(多日panel),69,closePrice|turnoverVol|turnoverValue|vwap|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_rank|ts_corr|wma|rank|sign,register_factor/_alpha191_088,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_090,"原式: -1*rank(corr(rank(vwap), rank(volume), 5))",函数因子(多日panel),70,closePrice|turnoverVol|turnoverValue|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_rank|ts_corr|wma|rank|sign,register_factor/_alpha191_090,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_092,"原式: -1*max(rank(wma(delta(0.35*close+0.65*vwap, 2), 3)), Ts_Rank(wma(abs(corr(ts_mean(vol,180), close, 13)), 5), 15))",函数因子(多日panel),71,closePrice|turnoverVol|turnoverValue|vwap|ts_delta|ts_mean|ts_sum|ts_std|ts_rank|ts_corr|ts_cov|wma|rank|sign,register_factor/_alpha191_092,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_094,"原式: ts_sum(sign(delta(close,1))*volume, 30)",函数因子(多日panel),72,closePrice|turnoverVol|turnoverValue|ts_delta|ts_mean|ts_sum|ts_std|ts_cov|rank|sign,register_factor/_alpha191_094,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_095,"原式: ts_std(amount, 20)",函数因子(多日panel),73,closePrice|turnoverVol|turnoverValue|delay|ts_delta|ts_mean|ts_std|ts_cov|rank,register_factor/_alpha191_095,刻画波动率/不确定性水平（波动类）
alpha191_097,"原式: ts_std(volume, 10)",函数因子(多日panel),74,highestPrice|lowestPrice|closePrice|turnoverVol|delay|ts_delta|ts_mean|ts_std|ts_cov|rank,register_factor/_alpha191_097,刻画波动率/不确定性水平（波动类）
alpha191_099,"原式: -1*rank(covariance(rank(close), rank(volume), 5))",函数因子(多日panel),75,highestPrice|lowestPrice|closePrice|turnoverVol|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|ts_cov|rank,register_factor/_alpha191_099,刻画价量联合波动方向与强度（协方差类）
alpha191_100,"原式: ts_std(volume, 20)",函数因子(多日panel),76,highestPrice|lowestPrice|closePrice|turnoverVol|delay|ts_delta|ts_mean|ts_sum|ts_std|ts_corr|rank,register_factor/_alpha191_100,刻画波动率/不确定性水平（波动类）
alpha191_106,"原式: close - delay(close, 20)",函数因子(多日panel),78,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_mean|ts_sum|ts_rank|ts_corr|ts_min|rank|log,register_factor/_alpha191_106,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_102,原式: volume RSI 6日,函数因子(多日panel),77,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_rank|ts_corr|ts_min|rank,register_factor/_alpha191_102,技术指标信号，反映超买超卖与动量状态
alpha191_109,"原式: mean(high-low,10) / mean(mean(high-low,10), 10)",函数因子(多日panel),79,highestPrice|lowestPrice|closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_rank|ts_corr|ts_max|ts_min|wma|rank|log,register_factor/_alpha191_109,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_113,"原式: -1*rank(ts_mean(delay(close,5), 20))*corr(close, volume, 2)*rank(ts_corr(ts_sum(close,5), ts_sum(close,20), 2))",函数因子(多日panel),80,closePrice|turnoverVol|vwap|delay|ts_delta|ts_mean|ts_sum|ts_rank|ts_corr|ts_max|ts_min|wma|rank|log,register_factor/_alpha191_113,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_121,"原式: -1*(rank(vwap-ts_min(vwap,12)) / ts_rank(corr(ts_rank(vwap,20), ts_rank(ts_mean(vol,60), 2), 18), 3))",函数因子(多日panel),81,closePrice|turnoverVol|turnoverValue|vwap|delay|ts_delta|ts_mean|ts_rank|ts_corr|ts_max|ts_min|wma|rank|log,register_factor/_alpha191_121,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_122,"原式: delta(z,1)/delay(z,1)，z=mean(mean(mean(log(close),13),13),13)",函数因子(多日panel),82,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|turnoverValue|vwap|delay|ts_delta|ts_mean|ts_max|wma|rank|log,register_factor/_alpha191_122,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_124,"原式: (close-vwap)/wma(rank(ts_max(close,30)), 2)",函数因子(多日panel),83,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|turnoverValue|vwap|delay|ts_mean|ts_max|wma|rank|np.where,register_factor/_alpha191_124,通过截面或时序排序衡量相对强弱（排序类）
alpha191_132,"原式: ts_mean(amount, 20)",函数因子(多日panel),84,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|turnoverValue|delay|ts_mean|ts_rank|wma|rank|np.where,register_factor/_alpha191_132,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_134,"原式: (close - delay(close,12))/delay(close,12)*volume",函数因子(多日panel),85,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|delay|ts_mean|ts_rank|ts_corr|wma|rank|np.where,register_factor/_alpha191_134,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_135,"原式: ts_mean(delay(close/delay(close,20), 1), 20)",函数因子(多日panel),86,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|delay|ts_mean|ts_rank|ts_corr|wma|rank|np.where,register_factor/_alpha191_135,比较当前与历史值，刻画动量/反转（差分时序类）
alpha191_137,原式: 16 * numerator/denominator * multiplier，TR 风格,函数因子(多日panel),87,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|delay|ts_delta|ts_mean|ts_rank|ts_corr|wma|rank|np.where,register_factor/_alpha191_137,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_140,"原式: min(rank(wma((rank(open)+rank(low))-(rank(high)+rank(close)), 8)), Ts_Rank(corr(ts_rank(close,8), ts_rank(ts_mean(vol,60), 20), 8), 3))",函数因子(多日panel),88,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_mean|ts_rank|ts_corr|wma|rank,register_factor/_alpha191_140,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha191_142,"原式: -1*rank(ts_rank(close,10))*rank(delta(close,1))*rank(ts_rank(vol/adv20, 5))",函数因子(多日panel),89,openPrice|highestPrice|lowestPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_rank|wma|rank,register_factor/_alpha191_142,通过截面或时序排序衡量相对强弱（排序类）
